timestamp,vwap_sale,vwap_advs,demand,supply
2025-11-28T04:13:45Z,10.176261930840246,9.36661093476214,63.91,1042522.54
2025-11-28T04:42:53Z,10.177254053111744,9.373761822230215,344.1799999999998,1050638.27
2025-11-28T05:11:06Z,10.206415716917348,9.35062485221733,1481.9700000000007,1013396.9
2025-11-28T05:41:04Z,10.21,9.280072266088863,1450.3400000000001,926071.98
2025-11-28T06:50:14Z,10.21,9.203457246638004,199.95000000000073,825671.09
2025-11-28T07:37:23Z,10.12,9.162003379781526,99.95000000000005,792980.25
2025-11-28T08:14:39Z,10.13446371091355,9.114242219551802,521.9199999999964,757492.03
2025-11-28T08:46:46Z,9.967804001880076,9.1890870083827,297.8599999999999,813647.12
2025-11-28T09:11:33Z,10.19530432666964,9.196795679543762,1233.0500000000009,844493.22
2025-11-28T09:38:54Z,10.19126984126984,9.312150110131634,578.3400000000003,965658.07
2025-11-28T10:11:08Z,10.199539625596243,9.445039016409234,2503.1799999999957,1147345.46
2025-11-28T10:42:30Z,10.190584230979626,9.402940647894473,9834.979999999998,1088840.9
2025-11-28T11:08:15Z,10.157749515725293,9.478344854428373,6783.34,1240174.3599999999
2025-11-28T11:33:38Z,10.198670686202094,9.575090148712098,16706.74,1520598.54
2025-11-28T12:18:41Z,10.17601030739412,9.509556923222792,19095.030000000002,1452942.77
2025-11-28T13:04:18Z,10.132347209933913,9.597363538617143,6498.950000000001,1643044.32
2025-11-28T13:44:42Z,10.173158206097991,9.76973438436147,6017.719999999998,2269592.27
2025-11-28T14:09:56Z,10.1940147261466,9.715624033447403,23012.130000000005,2054621.76
2025-11-28T14:40:55Z,10.172819610518067,9.752912678563666,19087.92,2230511.18
2025-11-28T15:09:55Z,10.192191488945792,9.76347336308998,17904.95,2296638.76
2025-11-28T15:38:37Z,10.157416650184821,9.697689370839534,35190.240000000005,1969594.03
2025-11-28T16:11:31Z,10.18046446642214,9.617330165935298,5747.240000000002,1660582.79
2025-11-28T16:44:25Z,10.197575590548581,9.669284421575773,27268.290000000008,1842563.38
2025-11-28T17:08:24Z,10.18073793279616,9.650806876364491,16128.84,1799795.81
2025-11-28T17:37:20Z,10.162702435163625,9.610806506340174,8718.099999999991,1765528.96
2025-11-28T19:08:25Z,10.147557893813952,9.602854406932614,33304.939999999995,1775680.77
2025-11-28T19:32:06Z,10.152927041855984,9.593766558330081,17622.569999999992,1751181.27
2025-11-28T20:10:45Z,10.156555559285637,9.688940593056467,16979.070000000007,2076569.55
2025-11-28T20:39:01Z,10.175701918138813,9.627379687935031,15149.060000000003,1824192.57
2025-11-28T21:08:31Z,10.181477049734342,9.575884585514121,25092.519999999993,1594369.8800000001
2025-11-28T21:34:35Z,10.159685300927649,9.571426568069098,24881.229999999996,1607713.75
2025-11-28T22:09:03Z,10.145913167432509,9.623361106814732,42526.21,1843024.26
2025-11-28T22:38:16Z,10.137986602528503,9.636417383703723,25551.09000000001,1899546.18
2025-11-28T23:09:22Z,10.146160477439068,9.63887591019812,18275.84,1964092.99
2025-11-28T23:34:27Z,10.138023560006811,9.589769005223237,5814.090000000007,1793841.8599999999
2025-11-29T00:43:45Z,10.073105031763696,9.514507645152975,13801.919999999991,1902989.39
2025-11-29T02:24:04Z,10.123693657977062,9.467572747001437,10392.11000000001,1624300.97
2025-11-29T03:31:35Z,10.148590817718429,9.51909463511091,5571.600000000002,1548261.83
2025-11-29T04:12:35Z,10.157252788783142,9.398220850462465,11113.27,1289739.93
2025-11-29T04:41:45Z,10.14329959686336,9.311456110901025,587.8900000000012,1031476.86
2025-11-29T05:09:48Z,10.152961898759697,9.273515327427935,6299.270000000002,985412.5599999999
2025-11-29T05:39:38Z,10.154861799767009,9.266065071119323,5862.869999999997,977058.65
2025-11-29T06:14:08Z,10.142302102069367,9.195447115419842,1651.2299999999996,903492.66
2025-11-29T06:47:29Z,10.0,9.203761710510353,53.0,911655.4
2025-11-29T07:09:11Z,10.07903699354081,9.204422345337951,102.17999999999984,911792.52
2025-11-29T08:12:45Z,10.11,9.161963875969002,431.25,869189.82
2025-11-29T08:43:26Z,10.137426062018283,9.166601530302536,557.8999999999996,874292.48
2025-11-29T09:09:34Z,10.130871567914417,9.21728935224418,1938.69,922493.45
2025-11-29T09:36:33Z,10.084431323803605,9.232289928090792,32.180000000000064,938069.02
2025-11-29T10:09:30Z,10.099999999999998,9.244744582246593,27.059999999999945,950502.84
2025-11-29T10:39:37Z,10.13889193501685,9.235571186555934,4869.57,969530.61
2025-11-29T11:07:40Z,10.127453229411296,9.28681158157506,1762.8599999999992,1054032.11
2025-11-29T11:31:48Z,10.123864085820896,9.495151009870339,2144.000000000001,1632424.42
2025-11-29T12:16:40Z,10.110126552675283,9.554065325745071,13939.65,1818525.91
2025-11-29T13:00:33Z,10.120502134652579,9.593302910483958,28648.689999999995,1962633.39
2025-11-29T13:27:26Z,10.10828139516947,9.511002299002834,33710.600000000006,1728144.89
2025-11-29T13:41:25Z,10.109358872311695,9.54862189672958,22262.18,1695133.05
2025-11-29T14:08:18Z,10.112078961136467,9.566743555768356,13532.480000000003,1750603.97
2025-11-29T14:37:57Z,10.109194475417011,9.522687797055468,15650.049999999996,1628269.14
2025-11-29T15:09:07Z,10.068312452328815,9.615531053377984,8128.600000000001,1947582.0
2025-11-29T15:35:11Z,10.108471612708462,9.529053004059257,34649.66,1874167.59
2025-11-29T16:10:43Z,10.105307620530176,9.500175660976822,4426.07000000001,1768891.45
2025-11-29T16:42:56Z,10.086616202335096,9.486921530682505,1339.5599999999965,1822066.95
