date,mid,spread_pct,gap,log_depth,z_gap,z_spread,z_liq,emp,emp_rolling,prob_depr_14d,prob_depr_30d,alarm_mass_14d,alarm_mass_30d
2025-11-28,10.391868267628505,0.2038521478854941,3.431868267628503,13.3909541536889,1.3884602217832027,0.3082921700973847,-1.1972942297471003,0.7798840422398063,,0.0967435031803201,0.0251704967950995,-0.0447899724542189,-0.0242486702958614
2025-11-29,10.29292732484324,0.1560970767393335,3.332927324843241,13.603027843010828,1.1761013466492407,0.2569383440362756,-0.7650912438478004,0.7294273693600748,,0.1311776587564782,0.0365309536668821,-0.0353991565063815,-0.0274477505894741
2025-11-30,10.144852994181717,0.1687434488413168,3.1848529941817167,13.35428212606982,0.8582865228735816,-0.2016400897786037,-0.3783937260278237,0.312322145579089,,0.146550231837821,0.0312758180881784,-0.0505314771018101,-0.0708585904669886
2025-12-01,10.09419498885794,0.1802552862358349,3.1341949888579395,13.306181866118337,0.7495582580698422,0.2898888398983831,-1.3471593986746986,0.3053649889072728,,0.2047371725438543,0.1281754278653757,0.0011952718143791,0.0221915092717661
2025-12-02,9.806072839076055,0.1888496465856368,2.846072839076057,13.65270432326628,0.1311560687794705,0.8104936408940294,-0.848944416540528,0.4075000485189287,,0.5219302411549942,0.6784523762685893,0.2483460386736601,0.4614509719654661
2025-12-03,10.464839182148332,0.2352582994787215,3.504839182148332,13.39215731855819,1.545079118760557,2.064059566254636,0.4492591670415549,2.58330780561182,,0.3537585644318124,0.3112784309071396,0.0218588476054049,0.0017276516125208
2025-12-04,10.31553157309298,0.2418522372517359,3.35553157309298,13.48332951949786,1.224617285515737,1.4152430147717052,-0.128089949040923,1.753845919690101,,0.3056170159180025,0.2421960810730484,-0.0595607081754933,-0.1211445202418604
2025-12-05,9.661204695104356,0.2196565753599617,2.701204695104356,13.569670278146504,-0.1797772539739265,0.222845542123565,-0.3743124639418524,-0.0699252734392334,,0.5274014612108993,0.5699672399424138,0.1241638475110822,0.1390894831375683
2025-12-06,9.63907300582474,0.1462083553128625,2.67907300582474,13.342456062872046,-0.227278930306586,-0.1025032241780698,-0.8680847245752711,-0.4705609822145538,,0.4497213681751532,0.4603525184916158,0.0153443192897169,0.0128710604430803
2025-12-07,9.486744456971264,0.1214706987876238,2.5267444569712643,13.270713489575652,-0.5542246655571633,-0.4970801540293188,0.0242596650537474,-0.7032668571314966,,0.5231023691628218,0.4335147330482228,0.0715172984124224,-0.005188209350691
2025-12-08,9.621585014228682,0.1196127213763972,2.661585014228682,13.241176520653534,-0.2648137477355159,-0.4786674811994059,-0.5315945796809157,-0.6609737902540896,,0.3978287543386412,0.2880716410576466,-0.0587442016665257,-0.1319295075364768
2025-12-09,9.299365846808634,0.113198065541766,2.339365846808634,13.53844844360168,-0.9563990309729394,-0.7147233083411512,-0.6846418555640097,-1.322957421988116,-1.99567098083162,0.5857541521472297,0.6292271380621627,0.0932302634446206,0.1584154635395079
2025-12-10,9.336806669448006,0.116570673748672,2.3768066694480057,13.403122840643253,-0.87603906313795,-0.6654754940316433,-0.1078964678910327,-1.069763667908728,-1.504195946630197,0.5947139080360775,0.5722713609088143,0.0664004838885489,0.0507399621869643
2025-12-11,9.129897837425036,0.1203131946817873,2.169897837425036,13.53475250562206,-1.3201315246282683,-0.7189682603609319,-0.4979716686110563,-1.5103939561108577,-1.798920534716571,0.7115489716395578,0.8138835311431531,0.1365767700709211,0.2207808574142142
2025-12-12,9.211838671397722,0.1126435224783143,2.2518386713977216,13.199843406072963,-1.1442603145899273,-0.717819740672016,-0.0753091687918911,-1.2726285005635445,-1.3645645782688025,0.6749325378128876,0.7128254071096771,0.0581796365507716,0.0682599180066526
2025-12-13,9.241626585099862,0.0988391679575185,2.281626585099862,13.003352667506093,-1.0803259344607303,-0.6480098140150978,0.2386272652982352,-1.0915431365172246,-1.0735008427634805,0.681231815014044,0.6928576039840737,0.0394222522963525,0.0274676492218709
2025-12-14,9.221712743893978,0.1088312698366083,2.2617127438939777,12.764617922221236,-1.1230674002183,-0.7399077357179017,-0.0970171931650262,-1.2804301826506743,-1.164744731153461,0.6629464901284552,0.6921162126150622,4.085169507539455e-05,0.0120714071351725
2025-12-15,9.371130680366328,0.1007373680293677,2.411130680366328,13.372155366568125,-0.8023687690866743,-0.4923536288447841,-0.3515620066378034,-0.970773552169992,-0.7248417131819502,0.5946322025826748,0.6221590653677284,-0.0732642243819933,-0.0690585693182259
2025-12-16,9.261976867754228,0.0910805934636678,2.3019768677542283,12.898509655202934,-1.036647725910416,-0.749828052821064,0.004176798823374,-1.2016008948885943,-0.933886029964178,0.6369842861057445,0.6300037174360616,-0.0340625033610072,-0.04387970623498
2025-12-17,9.423510247846426,0.0990209370598891,2.4635102478464264,13.160413829561088,-0.6899454818513915,-0.3982913117635995,-1.0891980371636838,-1.0439347829082066,-0.6001537695096011,0.540771355211523,0.6317223564850623,-0.1236435112905066,-0.0280133662116619
2025-12-18,10.488076091480997,0.250088306718554,3.5280760914809948,13.41913766455482,1.594952950448052,1.3532135851337677,0.0835601879640587,2.0140646888779514,2.269152890175815,0.20274079698814,0.089047991642459,-0.3604370469479602,-0.4524826907850712
2025-12-19,10.257440854684871,0.2243654135078257,3.297440854684873,13.498588151863755,1.099936043659744,1.376543947575854,-0.7535256796536325,1.4649626758315657,1.6815274461682457,0.3113577040026904,0.3208662394839701,-0.179164313872996,-0.1343263225352174
